barcode,name,estilo,terex2_stock
7002065410186,IPHONE 17 PRO MAX NARANJA LY MAGSAFE SMOKY ERGONOMIC,LY MAGSAFE SMOKY ERGONOMIC,1
7002065410018,IPHONE 17 PRO MAX NEGRO LY MAGSAFE SMOKY ERGONOMIC,LY MAGSAFE SMOKY ERGONOMIC,1
7002025410119,IPHONE 17 PRO MAX AZUL CLARO LY MAGSAFE SMOKY RED CAMERA 63,LY MAGSAFE SMOKY RED CAMERA 63,7
7002025411178,IPHONE 17 PRO MAX GRIS LY MAGSAFE SMOKY RED CAMERA 63,LY MAGSAFE SMOKY RED CAMERA 63,6
7002025410171,IPHONE 17 PRO MAX MORADO LY MAGSAFE SMOKY RED CAMERA 63,LY MAGSAFE SMOKY RED CAMERA 63,9
7002025410041,IPHONE 17 PRO MAX ROSA LY MAGSAFE SMOKY RED CAMERA 63,LY MAGSAFE SMOKY RED CAMERA 63,1
7001385000176,S25 ULTRA MORADO MAGSAFE GLITTER CAMARA LENTE CON DOBLE SOPORTE ,MAGSAFE GLITTER CAMARA LENTE CON DOBLE SOPORTE ,4
7001742810011,IPHONE 14 NEGRO ORANGE BELLA ESQUINAS,ORANGE BELLA ESQUINAS,40
7001760080182,IPHONE 11 NARANJA ORANGE CONVERT,ORANGE CONVERT,1
7001764540057,IPHONE 16 AZUL MARINO ORANGE CONVERT,ORANGE CONVERT,3
7001764540187,IPHONE 16 NARANJA ORANGE CONVERT,ORANGE CONVERT,10
7001764550056,IPHONE 16 PRO MAX AZUL MARINO ORANGE CONVERT,ORANGE CONVERT,14
7001764550063,IPHONE 16 PRO MAX DORADO ORANGE CONVERT,ORANGE CONVERT,1
7001764550018,IPHONE 16 PRO MAX NEGRO ORANGE CONVERT,ORANGE CONVERT,12
7001765400053,IPHONE 17 AZUL MARINO ORANGE CONVERT,ORANGE CONVERT,15
7001765400060,IPHONE 17 DORADO ORANGE CONVERT,ORANGE CONVERT,23
7001765400183,IPHONE 17 NARANJA ORANGE CONVERT,ORANGE CONVERT,32
7001765400015,IPHONE 17 NEGRO ORANGE CONVERT,ORANGE CONVERT,1
7001765410052,IPHONE 17 PRO MAX AZUL MARINO ORANGE CONVERT,ORANGE CONVERT,25
7001765410069,IPHONE 17 PRO MAX DORADO ORANGE CONVERT,ORANGE CONVERT,27
7001765410182,IPHONE 17 PRO MAX NARANJA ORANGE CONVERT,ORANGE CONVERT,369
7001765410014,IPHONE 17 PRO MAX NEGRO ORANGE CONVERT,ORANGE CONVERT,19
7001765430180,IPHONE 17 PRO NARANJA ORANGE CONVERT,ORANGE CONVERT,19
7001765430012,IPHONE 17 PRO NEGRO ORANGE CONVERT,ORANGE CONVERT,1
7001765000055,S25 ULTRA AZUL MARINO ORANGE CONVERT,ORANGE CONVERT,2
7001765000017,S25 ULTRA NEGRO ORANGE CONVERT,ORANGE CONVERT,1
7001794540188,IPHONE 16 NARANJA ORANGE HUMO 1,ORANGE HUMO 1,8
7001794550187,IPHONE 16 PRO MAX NARANJA ORANGE HUMO 1,ORANGE HUMO 1,10
7001795400184,IPHONE 17 NARANJA ORANGE HUMO 1,ORANGE HUMO 1,15
7001795410183,IPHONE 17 PRO MAX NARANJA ORANGE HUMO 1,ORANGE HUMO 1,20
7001795430181,IPHONE 17 PRO NARANJA ORANGE HUMO 1,ORANGE HUMO 1,67
7001795000186,S25 ULTRA NARANJA ORANGE HUMO 1,ORANGE HUMO 1,1
7001795950184,S26 ULTRA NARANJA ORANGE HUMO 1,ORANGE HUMO 1,10
7001784540181,IPHONE 16 NARANJA ORANGE HUMO 2,ORANGE HUMO 2,23
7001784550180,IPHONE 16 PRO MAX NARANJA ORANGE HUMO 2,ORANGE HUMO 2,15
7001785400187,IPHONE 17 NARANJA ORANGE HUMO 2,ORANGE HUMO 2,38
7001785410179,IPHONE 17 PRO MAX MORADO ORANGE HUMO 2,ORANGE HUMO 2,14
7001785410186,IPHONE 17 PRO MAX NARANJA ORANGE HUMO 2,ORANGE HUMO 2,72
7001785410018,IPHONE 17 PRO MAX NEGRO ORANGE HUMO 2,ORANGE HUMO 2,1
7001783971177,S24 ULTRA GRIS ORANGE HUMO 2,ORANGE HUMO 2,27
7001525410186,IPHONE 17 PRO MAX NARANJA ORANGE HUMO BRACKET 4A,ORANGE HUMO BRACKET 4A,221
7001735410181,IPHONE 17 PRO MAX NARANJA ORANGE TRANSPARENTE CONTORNO SIN CAMARA,ORANGE TRANSPARENTE CONTORNO SIN CAMARA,1
7002125410187,IPHONE 17 PRO MAX NARANJA SMOKY NEW BLACK,SMOKY NEW BLACK,1
7002005950178,S26 ULTRA MORADO SOPORTE Y BRACKET MAGSAFE SAM,SOPORTE Y BRACKET MAGSAFE SAM,10
7001603450059,IPHONE 15 AZUL MARINO SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,7
7001604540056,IPHONE 16 AZUL MARINO SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,1
7001604541176,IPHONE 16 GRIS SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,6
7001604540186,IPHONE 16 NARANJA SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,30
7001604550055,IPHONE 16 PRO MAX AZUL MARINO SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,11
7001604551175,IPHONE 16 PRO MAX GRIS SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,14
7001604550185,IPHONE 16 PRO MAX NARANJA SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,30
7001604550017,IPHONE 16 PRO MAX NEGRO SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,4
7001605430059,IPHONE 17 PRO AZUL MARINO SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,5
7001605430189,IPHONE 17 PRO NARANJA SUAVE VENTANA ORANGE,SUAVE VENTANA ORANGE,10
